gid;code_lot;nom;secteur;sous_secteur;horaires_site;observations;num_voie;lib_voie;ville;code_crige;statut;accessibilite;gardiennage;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_insee;meta_siren;meta_genealogie;meta_resolution;meta_licence;meta_actif;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
"";"N03025";"SQUARE P. DE DEIMIER / MEDIATEHQUE CECCANO";"";"PARCS ET JARDINS";"Niveau 1,3 et musique :  Lundi, mardi, jeudi, vendredi 12h30-18h  mercredi, samedi 10h-18hJeunesse :  mardi, jeudi, vendredi 14h-18h  mercredi, samedi 10h-18h";"Géométrie à revoir";"";"";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"845034.2107926573";"6318015.819717284";"4.8067197929053735";"43.946211648016124";"43.946211648016124";"4.8067197929053735"
"";"N03026";"PARC DE LA BARBIERE";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"AVENUE RICHELIEU";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"847213.7496122369";"6316373.513161478";"4.833386120809718";"43.93098341646389";"43.93098341646389";"4.833386120809718"
"";"N03029";"JARDIN RUE DU MONS";"ESPACES VERTS";"PARCS ET JARDINS";"Privé Ville";"";"8";"BIS RUE DE MONS";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"845043.2703416512";"6318386.990330441";"4.806938399165798";"43.94954930858023";"43.94954930858023";"4.806938399165798"
"";"N03041";"CLOS DU NOYER";"";"PARCS ET JARDINS";"accès libre";"Géométrie à revoir";"";"CHEMIN DU PONT DES DEUX EAUX";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"847829.65";"6317705.798773091";"4.841440578258664";"43.94284121159778";"43.94284121159778";"4.841440578258664"
"";"N03014";"SQUARE GAMBETTA";"";"PARCS ET JARDINS";"accès libre";"Géométrie à revoir";"";"PCE JULES GUESDE";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"845324.2116774529";"6316919.2983005";"4.810018069756149";"43.93628621486358";"43.93628621486358";"4.810018069756149"
"";"N03039";"ALLEE ANTOINE PINAY / CHEMIN DE HALAGE";"";"";"accès libre";"";"";"";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"844829.4580217751";"6319022.7940035295";"4.80445664398639";"43.95531382884605";"43.95531382884605";"4.80445664398639"
"";"N03023";"PARC DE LA PORTE CRILLON";"";"";"accès libre";"";"";"";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"844686.7946439967";"6318495.834967058";"4.802529944103339";"43.950601934066114";"43.950601934066114";"4.802529944103339"
"";"N03015";"SQUARE DE L'ABBE PIERRE";"";"";"accès libre";"";"";"";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"844706.2222656996";"6316821.472214757";"4.80229586364043";"43.93553325591582";"43.93553325591582";"4.80229586364043"
"";"N03020";"JARDIN PUBLIC RUE LE LAUZON";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"RUE LE LAUZON";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"847892.3084780497";"6318740.866263559";"4.84252160068754";"43.95214075283283";"43.95214075283283";"4.84252160068754"
"";"N03007";"LE PRE DU CURE";"";"";"accès libre";"";"";"";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"844325.7543339605";"6316791.507985273";"4.79755033333161";"43.93534170405345";"43.93534170405345";"4.79755033333161"
"";"N03009";"PARC COLETTE";"";"";"accès libre";"";"";"";"Avignon";"";"réalisé";"";"";"20170620162850";"20180301103549.684";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts - Ancien Nom : parc du hameau des Fontaines du Levant ";"1/500";"Licence Ouverte (LO)";"t";"844280.02709777";"6316217.060991373";"4.796818227791413";"43.93018264061672";"43.93018264061672";"4.796818227791413"
"";"N03031";"JARDIN PORTE LIMBERT";"";"PARCS ET JARDINS";"accès libre";"Géométrie à revoir";"";"BD LIMBERT";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"845741.7416578897";"6317833.402784802";"4.815478309100951";"43.944424362543685";"43.944424362543685";"4.815478309100951"
"";"N03032";"JARDIN AVENUE DE COLCHESTER";"";"PARCS ET JARDINS";"accès libre";"Géométrie à revoir";"";"AVE DE COLCHESTER";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"846728.4503346266";"6317732.017900104";"4.827735956357333";"43.94330734341355";"43.94330734341355";"4.827735956357333"
"";"N03045";"JARDIN PLACE DE LA TRAVERSO";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"PLACE DE LA TRAVERSO";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"846059.3975606186";"6316018.208609917";"4.81891312390203";"43.928026929036925";"43.928026929036925";"4.81891312390203"
"";"N03003";"PARC CHICO MENDES";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"ALLEE DU CLOS DE LA SACRISTIE";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"848340.4939955467";"6318156.479501529";"4.847932945820063";"43.94678866743547";"43.94678866743547";"4.847932945820063"
"";"N03010";"PATC DE PEUPLIERS / JARDIN LES PEUPLIERS PONT DES DEUX EAUX";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"RUE DES PETUNIAS";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"848073.141506887";"6317600.83014929";"4.84444199223867";"43.941845652765416";"43.941845652765416";"4.84444199223867"
"";"N03011";"JARDIN QUAI SAINT LAZARE";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"BD DU QUAI SAINT LAZARE";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"845867.002277869";"6318703.25815963";"4.817287440570231";"43.95222474633742";"43.95222474633742";"4.817287440570231"
"";"N03013";"JARDIN CLOS DU NOYER";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"RUE KONRAD ADENAUER";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"847516.3307440254";"6317943.343944818";"4.837607974992807";"43.94504413024441";"43.94504413024441";"4.837607974992807"
