id;nature;couleur;nb_places;date_realisation;observations;meta_insee;meta_siren;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_actif;meta_resolution_spatiale;meta_licence;meta_observations;meta_genealogie;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
636;;;;;;84007;;20190424204142;20190424204142;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844283.375280059;6317169.239524027;4.79712974671504;43.93874892871699;43.93874892871699;4.79712974671504
637;;;;;;84007;;20190424214747;20190424214747;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844276.367588652;6317150.43357251;4.797037162244856;43.93858116192609;43.93858116192609;4.797037162244856
638;;;;;;84007;;20190424214747;20190424214747;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844222.0480823794;6316948.319083063;4.796303559052675;43.93677380894799;43.93677380894799;4.796303559052675
639;;;;;;84007;;20190424214747;20190424214747;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844481.53062182;6316135.228922477;4.7993036032427145;43.929405090148364;43.929405090148364;4.7993036032427145
640;;;;;;84007;;20190424214747;20190424214747;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844182.7337458439;6316860.901102126;4.795789305341122;43.93599533471962;43.93599533471962;4.795789305341122
641;;;;;;84007;;20190424214747;20190424214747;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844155.777062511;6316692.652978773;4.7954060381586405;43.934487081752074;43.934487081752074;4.7954060381586405
642;;;;;;84007;;20190424214747;20190424214747;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844241.0123998041;6316934.382883205;4.796535731983032;43.93664453902268;43.93664453902268;4.796535731983032
645;;;;;;84007;;20190424214747;20190424214747;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844296.9155651525;6317164.448955326;4.7972969823403036;43.93870305347218;43.93870305347218;4.7972969823403036
646;;;;;;84007;;20190424215239;20190424215239;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844488.2611728902;6316702.337237241;4.7995483191043595;43.93450610537206;43.93450610537206;4.7995483191043595
647;;;;;;84007;;20190424215239;20190424215239;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844443.0477062988;6316719.124023437;4.798990159285857;43.934666410952474;43.934666410952474;4.798990159285857
648;;;;;;84007;;20190424215239;20190424215239;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844658.6628893608;6317382.518809959;4.801863151456845;43.94059089441656;43.94059089441656;4.801863151456845
649;;;;;;84007;;20190424215239;20190424215239;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844700.7882207559;6317446.577819543;4.802405891042101;43.94115859810949;43.94115859810949;4.802405891042101
650;;;;;;84007;;20190424215239;20190424215239;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844657.316779147;6317380.2225043;4.8018457376037045;43.940570510387126;43.940570510387126;4.8018457376037045
448;;;;;;84007;;20190424143515;20190426151440;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;848445.9575676116;6316491.869414601;4.848760842679257;43.93178974692711;43.93178974692711;4.848760842679257
651;;;;;;84007;;20190424215239;20190524120819;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844636.8083941257;6317335.325769523;4.801577617621399;43.94017077403099;43.94017077403099;4.801577617621399
654;;;;;;84007;;20190425094315;20190425114825;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844943.2946337314;6316066.984061301;4.805032766028058;43.92869624115383;43.92869624115383;4.805032766028058
656;;;;;;84007;;20190425115140;20190425145437;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844881.9786146776;6316057.5405469835;4.804266753910638;43.92862388650556;43.92862388650556;4.804266753910638
657;;;;;;84007;;20190425115140;20190425115140;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844889.6989526682;6316003.953483033;4.8043476180554;43.9281401663913;43.9281401663913;4.8043476180554
655;;;;;;84007;;20190425114825;20190425115906;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844906.9212451086;6315981.049813661;4.804555499691975;43.927930556347846;43.927930556347846;4.804555499691975
658;;;;;;84007;;20190425115906;20190425115906;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844888.2736595002;6315580.839369672;4.804209501202545;43.924333629062595;43.924333629062595;4.804209501202545
659;;;;;;84007;;20190425115906;20190425115906;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844907.697857044;6316054.840552764;4.804586164971829;43.92859430533943;43.92859430533943;4.804586164971829
660;;;;;;84007;;20190425115906;20190425115906;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844878.0194669905;6315580.839369673;4.804081856133179;43.92433573736782;43.92433573736782;4.804081856133179
661;;;;;;84007;;20190425115906;20190425115906;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844827.6591084058;6315382.090155764;4.803398452103952;43.922557911188605;43.922557911188605;4.803398452103952
662;;;;;;84007;;20190425115906;20190425115906;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844818.2759283867;6315385.65338868;4.803282666179163;43.922591898505026;43.922591898505026;4.803282666179163
663;;;;;;84007;;20190425115906;20190425115906;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844824.2146499179;6315371.479639959;4.803352559612453;43.92246315463302;43.92246315463302;4.803352559612453
664;;;;;;84007;;20190425115906;20190425115906;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844816.5635970117;6315377.16101689;4.803258937053665;43.922515843212985;43.922515843212985;4.803258937053665
665;;;;;;84007;;20190425115906;20190425115906;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844806.2302215474;6315360.56229021;4.803125591429925;43.92236862536689;43.92236862536689;4.803125591429925
666;;;;;;84007;;20190425115906;20190425115906;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844815.019529414;6315241.114804479;4.803201038062626;43.92129213214586;43.92129213214586;4.803201038062626
