id;projet_millesime;projet_theme;projet_libelle;projet_localisation;projet_secteur;projet_statut;meta_datcreat;meta_datmaj;meta_source;meta_insee;meta_siren;meta_licence;meta_genealogie;meta_actif;projet_cout;projet_numero;porteur_collectif;projet_sous_theme;projet_description;type_sectorisation;secteur_numero;secteur_nom;meta_datsupp;meta_resolution;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
130;2018;;Ruche citadine;;tous secteurs;retenu;20190117155331.179622;20190117155331.179622;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;20000;44-02;;;;;;;;;84007-budgetParticipatif2018;844242.5429359109;6316221.322240972;4.796352779923364;43.93022865462592;43.93022865462592;4.796352779923364
131;2018;;Ruche citadine;;tous secteurs;retenu;20190117155331.179622;20190117155331.179622;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;20000;44-03;;;;;;;;;84007-budgetParticipatif2018;847599.0940902397;6318700.988924187;4.838858333117706;43.95184347596046;43.95184347596046;4.838858333117706
72;2018;aménagement de l'espace public;Aménagement rue du Portail Magnanen;rue du portail Magnanen, place damette, place des études, rue pétramale, et rue biret;secteur 1;retenu;20181022152424;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;130000;08;Collectif Magnanen;;Financement de la phase 2 du projet Magnanen;;;;;;84007-budgetParticipatif2018;845415.2698764827;6317783.841515343;4.8113987777313465;43.94404591817612;43.94404591817612;4.8113987777313465
111;2018;aménagement de l'espace public;Toilettes sèches;Château St Chamand;secteur 2;retenu;20181022171125;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;18;;;installation de toilettes sèches car nous n'avons pas de toilettes extérieures;;;;;;84007-budgetParticipatif2018;847968.4504559612;6316624.31283363;4.842854572656224;43.933081797727674;43.933081797727674;4.842854572656224
73;2018;aménagement de l'espace public;Une place de la pignotte entre patrimoine et verdure;place de la Pignotte, impasses, et rues adjacentes;secteur 1;retenu;20181022152424;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;09;collectif de la pignotte;;"La place de la pignotte, sans trottoirs ni stationnement = piétonnisée et végétalisée = plans, photos et croquis dans le dossier
béton désactivé, parvis en calade devant hôtel Achard et église";;;;;;84007-budgetParticipatif2018;845441.6367075199;6318234.906268527;4.811856011957727;43.94809882054341;43.94809882054341;4.811856011957727
74;2018;aménagement de l'espace public;Aménagement d'espaces verts à partager ;rue rateau ;secteur 1;retenu;20181022152424;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;40000;10;un regroupement de personnes habitant le quartier des teinturiers;;l'idée est de récupérer un espace public (trottoir) situé entre le 10 bis rue rateau et le 12 et de le convertir en jardins potagers.;;;;;;84007-budgetParticipatif2018;845525.0811613009;6317995.0792306615;4.812826586568669;43.94592379933263;43.94592379933263;4.812826586568669
80;2018;aménagement de l'espace public;Création d'un panneau d'affichage;3 avenue François Mauriac, devant la salle municipale du château;secteur 2;retenu;20181022152424;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;2000;19;;;centraliser les informations et animations concernant les assos et les actions de la mairie de quartier ainsi que les arrêtés municipaux;;;;;;84007-budgetParticipatif2018;847972.0451175213;6316565.359439802;4.842882192847797;43.93255063288748;43.93255063288748;4.842882192847797
81;2018;aménagement de l'espace public;Aire de détente;Place Paul Claudel;secteur 2;retenu;20181022152424;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;60000;20;;;suite à l'enlèvement des platanes infectés, souhait d'une aire de détente;;;;;;84007-budgetParticipatif2018;848268.847946644;6316540.357518255;4.846570025573652;43.9322632915734;43.9322632915734;4.846570025573652
93;2018;mode de déplacement doux;Piste cyclable Bvd Jules Ferry;boulevard jules ferry;secteur 3;retenu;20181022152424;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;36;;;réalisation d'une bande cyclable si possible d'une piste cyclable sur cet axe névralgiquede la ville;;;;;;84007-budgetParticipatif2018;844357.3639200719;6317108.406142484;4.798033747242356;43.93818643813777;43.93818643813777;4.798033747242356
121;2018;aménagement de l'espace public;Création d'une cabane à livres sur la place Tornati;Placette Tornati à l'angle du Bvd Jacques Monod et de l'avenue Monclar;secteur 3;retenu;20181022173525;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;5000;28;;;"démolition de la boucherie à cet angle et conseiller de quartier avaient demandé une cabane à livres qui n'a pas été retenue = pergola et tabouret sur cet espace.
Elle s'engage à faire vivre cette cabane en mettant des livres et en triant les usagés.
lieu bruyant en journée mais plus calme les soirs et week-end";;;;;;84007-budgetParticipatif2018;844906.8671040924;6317031.178491991;4.80485368673693;43.93737879047454;43.93737879047454;4.80485368673693
127;2018;environnement;Création d'espaces pédagogiques de jardinage;Ecole de l'Amandier;secteur 2;retenu;20181107172846;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;47;;;"Ce projet coopératif en faveur d’un développement local durable ’attachera à modifier progressivement différents espaces extérieurs et intérieurs de l’école de l’Amandier pour les transformer en supports l’apprentissage et d’expression dans différents domaines, avec à terme la création d’applications numériques ludo-éducatives en lien avec ces espaces. Les réalisations se feront le plus souvent possible en matériaux nobles. Outre les espaces jardins potagers et d’agréments, cultivés en permaculture pour certains, une partie de l’espace extérieur sera aménagé pour devenir un espace d’informations et d’expression in situ autour de la connaissance et de la protection de l’environnement, avec notamment l’affichage de toutes les espèces végétales existantes. Cet espace ouvert, qui s’adresse dans un premier temps à l’ensemble de la communauté éducative de l’école, pour s’étendre progressivement à un public plus large. Un projet pour le quartier afin de développer dans l’avenir un partenariat plus large, notamment avec d’autres écoles du quartier et le tissu associatif local.
";;;;;;84007-budgetParticipatif2018;848348.9837572026;6317532.469497865;4.847856786753468;43.9411725671241;43.9411725671241;4.847856786753468
